# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
adgs	期末	1	21837
adgt	葳	0	15640
adgt	葴	0	0
adgt	𦮠	0	0
adgx	𦮈	0	0
adh	荐	3	25625
adha	欺瞒	1	14052
adha	𦳴	0	0
adha	𦸘	0	0
adhb	荐	0	25625
adhd	葜	0	8974
adhf	茬	0	18677
adhh	项目	1	34063
adhi	基督	1	32627
adhj	䒠	0	0
adhk	基点	1	16157
adhk	苦战	1	17202
adho	𤑒	0	0
adht	蒧	0	0
adht	𦷜	0	0
adht	𦸗	0	0
adhu	蘴	0	0
adhu	革故鼎新	1	11718
adhv	惹眼	1	13045
adhv	蔧	0	0
adhw	期盼	1	25522
adhx	藉此	1	24691
adi	藉	3	27468
adia	期满	1	18103
adic	莽汉	1	10933
adic	𦶮	0	0
adie	𦿃	0	0
adif	𧂭	0	0
adii	苦水	1	17124
adij	藉	0	27468
adil	𧀗	0	0
adim	勘测	1	19204
adim	𧂬	0	0
adin	𧄥	0	0
adip	苦学	1	16845
adis	斟酒	1	13986
adit	苦海	1	17002
adiu	䒹	0	0
adiv	苦涩	1	19280
adiw	荐举	1	8490
adiy	藕	0	19851
adj	菲	3	31848
adjc	𢾻	0	0
adjd	匪	0	26440
adjd	菲	0	31848
adjf	其时	1	21231
adjf	𧁶	0	0
adjg	若是	1	26919
adjg	韮	0	6243
adjj	㔈	0	0
adjj	期日	1	25147
adjn	菴	0	12392
adjn	蕜	0	0
adjr	𦿆	0	0
adjs	䕁	0	0
adjs	苦果	1	16363
adjt	𢾺	0	0
adju	𧊝	0	0
adjw	𣤆	0	0
adjy	𦻔	0	0
adk	若	3	33307
adka	欺哄	1	7279
adkb	鄀	0	0
adkf	若	0	33307
adkf	苦味	1	16980
adkh	其中	1	39122
adkj	蠚	0	0
adkj	𧍷	0	0
adkk	䖃	0	0
adkk	匲	0	0
adkk	藏品	1	22193
adkn	惹	0	28642
adkp	逽	0	0
adky	𧃦	0	0
adl	苈	3	0
adlb	苈	0	0
adld	基因	1	31398
adlg	基辅	1	19001
adln	苦思	1	17755
adlt	巧克力	1	30393
adlt	苦力	1	20390
adlu	项圈	1	20771
adlx	苦累	1	11529
adm	项	3	33386
admd	䓴	0	0
admd	基岩	1	12206
admh	藉由	1	26007
admj	荋	0	0
admn	𦾳	0	0
admr	蔚成风气	1	0
admt	蒇	0	0
admt	蕆	0	0
admu	欺罔	1	8841
admv	𦵘	0	0
admw	期内	1	24896
admy	項	0	32599
admy	项	0	33386
admy	𩑪	0	0
adn	茂	3	25997
adna	莱布尼茨	1	16558
adnb	𦬍	0	0
adnb	𦬓	0	0
adnf	基层	1	35648
adng	苦情	1	8841
adnl	𦭋	0	0
adnl	𦼦	0	0
adnn	藏书	1	22252
adnt	茂	0	25997
adnt	荿	0	0
adnt	藏	0	33003
adnu	𢚈	0	0
adnu	𢝨	0	0
adny	苦心	1	21213
adny	苦恼	1	22532
adod	蕨类	1	11898
adog	基业	1	15503
adoj	𦺶	0	0
adoo	惹火	1	22325
adou	世态炎凉	1	13902
adou	𦭹	0	0
adov	基数	1	18450
adow	藕粉	1	12541
adpf	苦寒	1	15819
adpg	藏宝	1	18586
adpl	匪军	1	13314
adpn	茂密	1	20337
adpt	欺客	1	12892
adpu	其实	1	36672
adpu	荙	0	0
adpw	勘察	1	19950
adpx	其它	1	33601
