loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	lide	犁地	10996	lidi	UNCERTAIN	single-char prefix '犁' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deseng	地僧	10995	diseng	UNCERTAIN	default
地	suidetutan	随地吐痰	10968	suiditutan	UNCERTAIN	default
地	dewei	地维	10896	diwei	UNCERTAIN	default
地	huanlede	欢乐地	10888	huanledi	UNCERTAIN	2-char prefix '欢乐' + 助词 (V+助词 or 2-char N+助词)
地	jiaojiede	交界地	10836	jiaojiedi	UNCERTAIN	2-char prefix '交界' + 助词 (V+助词 or 2-char N+助词)
地	hanxude	含蓄地	10817	hanxudi	UNCERTAIN	2-char prefix '含蓄' + 助词 (V+助词 or 2-char N+助词)
地	dekan	地勘	10809	dikan	UNCERTAIN	default
地	shifeizhide	是非之地	10806	shifeizhidi	LIKELY_SPURIOUS	>=3-char prefix '是非之' + 助词 (long phrase + 助词)
地	xiade	辖地	10741	xiadi	UNCERTAIN	single-char prefix '辖' + 助词 (likely legitimate N+助词,但 ambiguous)
地	guideqiurao	跪地求饶	10634	guidiqiurao	UNCERTAIN	default
