delete_code	word	freq	why
niliuerhang	逆流而行	3094	del_wrong
pianerchang	片儿长	3094	del_wrong
renzhizhangqing	人之长情	3094	del_prim
sanliangchong	三两重	3094	del_wrong
shiliangchong	十两重	3094	del_wrong
siliangchong	四两重	3094	del_wrong
weijianhang	未见行	3094	del_wrong
xiaozhangjin	小长今	3094	del_prim
xuanchong	悬重	3094	del_wrong
zhubaoxing	珠宝行	3094	del_prim
