delete_code	word	freq	why
lanjuan	蓝圈	7836	圈:quan/juan del-wrong b2
manjiaolong	满觉陇	7836	觉:jue/jiao del-wrong b2
shengyueji	声乐系	7836	系:xi/ji del-wrong b2
shouquan	兽圈	7836	圈:quan/juan del-prim b2
gezine	格子呢	7806	呢:ne/ni del-prim b2
shenxiang	参详	7791	参:can/shen del-wrong b2
tongjiao	统觉	7791	觉:jue/jiao del-wrong b2
liangji	两系	7789	系:xi/ji del-wrong b2
dijuan	地圈	7739	圈:quan/juan del-wrong b2
poan	泊岸	7715	泊:po/bo del-prim b2
jici	系辞	7715	系:xi/ji del-wrong b2
huagongji	化工系	7698	系:xi/ji del-wrong b2
hencha	狠刹	7669	刹:sha/cha del-wrong b2
shenshang	参上	7615	参:can/shen del-wrong b2
fujijuan	伏击圈	7603	圈:quan/juan del-wrong b2
zhihuiji	指挥系	7587	系:xi/ji del-wrong b2
shenbutou	参不透	7552	参:can/shen del-wrong b2
quanma	圈马	7552	圈:quan/juan del-prim b2
luobu	箩卜	7552	卜:bo/bu del-wrong b2
dizhiji	地质系	7545	系:xi/ji del-wrong b2
shenzhizhengshi	参知政事	7508	参:can/shen del-wrong b2
bozhe	卜者	7507	卜:bo/bu del-prim b2
shenni	沈溺	7482	沈:shen/chen del-prim b2
huifuji	恢复系	7482	系:xi/ji del-wrong b2
hujuan	弧圈	7482	圈:quan/juan del-wrong b2
shenshen	深沈	7482	沈:shen/chen del-prim b2
miaojiao	妙觉	7477	觉:jue/jiao del-wrong b2
tiyuan	堤垸	7454	堤:di/ti del-wrong b2
shengtaijuan	生态圈	7450	圈:quan/juan del-wrong b2
pochuan	泊船	7404	泊:po/bo del-prim b2
guliji	孤立系	7399	系:xi/ji del-wrong b2
libokenei	李卜克内	7289	卜:bo/bu del-prim b2
poqinhuai	泊秦淮	7233	泊:po/bo del-prim b2
quanfei	圈肥	7233	圈:quan/juan del-prim b2
pangru	彷如	7182	彷:pang/fang del-prim b2
doubolei	都卜勒	7180	卜:bo/bu del-prim b2
yingyuji	英语系	7117	系:xi/ji del-wrong b2
chunji	纯系	7099	系:xi/ji del-wrong b2
nipoeryu	尼泊尔语	7061	泊:po/bo del-prim b2
shenyuan	参院	6966	参:can/shen del-wrong b2
chenkuo	沈括	6936	沈:shen/chen del-wrong b2
jiaoshen	教参	6927	参:can/shen del-wrong b2
jiujuan	九圈	6927	圈:quan/juan del-wrong b2
yinyueji	音乐系	6920	系:xi/ji del-wrong b2
qibajuan	七八圈	6868	圈:quan/juan del-wrong b2
geyuanji	各院系	6851	系:xi/ji del-wrong b2
shehuixueji	社会学系	6848	系:xi/ji del-wrong b2
chenyangtieluju	沈阳铁路局	6824	沈:shen/chen del-wrong b2
tidao	堤道	6756	堤:di/ti del-wrong b2
daboshu	大柏树	6722	柏:bai/bo del-wrong b2
shuangjuan	双圈	6722	圈:quan/juan del-wrong b2
dianjiji	电机系	6660	系:xi/ji del-wrong b2
guohuaji	国画系	6655	系:xi/ji del-wrong b2
juanxing	圈形	6647	圈:quan/juan del-wrong b2
maifujuan	埋伏圈	6631	圈:quan/juan del-wrong b2
zidonghuaji	自动化系	6619	系:xi/ji del-wrong b2
xuanji	选系	6463	系:xi/ji del-wrong b2
dianziji	电子系	6455	系:xi/ji del-wrong b2
beijiao	倍觉	6442	觉:jue/jiao del-wrong b2
shendian	沈淀	6442	沈:shen/chen del-prim b2
kaoguji	考古系	6442	系:xi/ji del-wrong b2
lanjuan	篮圈	6442	圈:quan/juan del-wrong b2
liangsanjuan	两三圈	6442	圈:quan/juan del-wrong b2
xiangjiaojuan	橡胶圈	6442	圈:quan/juan del-wrong b2
shenhuizhe	参会者	6380	参:can/shen del-wrong b2
shenkuaizhe	参会者	6380	参:can/shen del-wrong b2
fanggene	方格呢	6363	呢:ne/ni del-prim b2
bailiaozi	柏辽兹	6344	柏:bai/bo del-prim b2
boren	蕃人	6344	蕃:fan/bo del-wrong b2
maji	马系	6235	系:xi/ji del-wrong b2
feiguanxingji	非惯性系	6228	系:xi/ji del-wrong b2
zhiwuquji	植物区系	6228	系:xi/ji del-wrong b2
maitianjuan	麦田圈	6216	圈:quan/juan del-wrong b2
meijuan	每圈	6117	圈:quan/juan del-wrong b2
chenyangjunqu	沈阳军区	6105	沈:shen/chen del-wrong b2
qunji	群系	6105	系:xi/ji del-wrong b2
xinwenji	新闻系	6069	系:xi/ji del-wrong b2
anti	岸堤	6064	堤:di/ti del-wrong b2
yingwenji	英文系	6064	系:xi/ji del-wrong b2
zhishen	值参	6032	参:can/shen del-wrong b2
jibolin	吉卜林	5944	卜:bo/bu del-prim b2
juanjuandiandian	圈圈点点	5930	圈:quan/juan del-wrong b2
juanquandiandian	圈圈点点	5930	圈:quan/juan del-wrong b2
quanjuandiandian	圈圈点点	5930	圈:quan/juan del-wrong b2
shaojiao	稍觉	5930	觉:jue/jiao del-wrong b2
yinjuan	银圈	5930	圈:quan/juan del-wrong b2
yixiajuan	一下圈	5930	圈:quan/juan del-wrong b2
jiquan	鸡圈	5907	圈:quan/juan del-prim b2
disanji	第三系	5899	系:xi/ji del-wrong b2
kuaijiji	会计系	5899	系:xi/ji del-wrong b2
lvyoujuan	旅游圈	5895	圈:quan/juan del-wrong b2
