# pinyin	word	freq_score
# generated by pinyin-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin pinyin-build-weights
aierli	埃尔利	5791
aierma	埃尔马	0
aierman	埃尔曼	0
aiermen	埃尔门	0
aiermi	埃尔米	10380
aiermi	艾尔米	0
aiermo	埃尔默	13920
aierna	爱尔纳	0
aiernan	埃尔南	12300
aiernandesi	埃尔南德斯	10715
aierninuo	埃尔尼诺	0
aiernuo	艾尔诺	2895
aierpasuo	埃尔帕索	12300
aierqie	埃尔切	4589
aierqiya	埃尔齐亚	0
aierri	爱耳日	0
aiersa	埃尔萨	0
aiersage	艾尔萨哥	0
aiersaiwei	埃尔塞维	0
aiersewei	埃尔塞维	0
aiersha	艾尔沙	8129
aiersha	艾尔莎	18091
aiershade	艾尔沙德	4589
aiersi	埃尔斯	13446
aiersi	艾尔斯	11024
aiersilei	艾尔斯勒	0
aiersishan	艾尔斯山	0
aiersite	埃尔斯特	4589
aiersiwo	埃尔斯沃	0
aiersiwo	艾尔斯沃	0
aiersiyan	艾尔斯岩	2895
aierta	埃尔塔	6723
aierte	爱尔特	0
aiertong	埃尔通	0
aiertuo	埃尔托	0
aierwei	埃尔维	10017
aierweisi	埃尔维斯	20102
aierweisi	埃尔韦斯	0
aierweisi	艾尔维斯	12718
aierweixiu	爱尔维修	0
aierwen	埃尔文	17564
aierwen	埃尔温	12912
aierwen	艾尔文	22550
aierxi	埃尔西	11312
aierxinqie	爱儿心切	0
aieryaji	埃尔雅基	0
aieryishi	埃尔一世	8129
aierzulu	埃尔祖鲁	5791
aieshoudong	挨饿受冻	0
aietesi	埃厄忒斯	10380
aifalaosao	爱发牢骚	0
aifanhe	艾凡赫	4589
aifate	埃法特	0
aifeier	埃菲尔	19520
aifeier	艾菲尔	8129
aifeiertieta	埃菲尔铁塔	9619
aifeiertieta	艾菲尔铁塔	14852
aifeishe	埃菲社	0
aifeisi	埃菲斯	0
aifeisi	爱非斯	2895
aifeite	埃菲特	0
aifengjifeng	挨风缉缝	0
aifengqifeng	捱风缉缝	0
aifu	爱抚	23493
aifudi	埃富蒂	0
aifudun	埃弗顿	15195
aifudundui	埃弗顿队	0
aifuer	埃伏尔	0
aifula	埃弗拉	5791
aifuli	埃弗里	9178
aifuli	艾弗里	18703
aifulin	爱福临	0
aifulun	埃夫伦	0
aifusen	埃弗森	0
aifusen	艾佛森	18091
aifusen	艾弗森	13610
aifusi	艾夫斯	10017
aifuxianpin	爱富嫌贫	0
aigan	哀感	5791
aigan	矮杆	5791
aigan	矮秆	4589
aigang	爱岗	16424
aigangjingye	爱岗敬业	16740
aigantiandi	哀感天地	0
aiganwanyan	哀感顽艳	4589
aiganzhongnian	哀感中年	0
aiganzuowu	矮秆作物	0
aigao	哀告	4589
aigaobinfu	哀告宾服	0
aige	哀歌	13098
aige	挨个	19999
aige	矮个	6723
aigebo	埃格伯	0
aigeer	埃个儿	0
aigeer	挨个儿	9619
