a	あ
yomi	よみ
yomigae	よみがえ
yomogi	よもぎ
yon	よん
yona	よな
yonageru	よなげる
yori	より
yoro	よろ
yoroi	よろい
yoroko	よろこ
yorozu	よろず
yoshi	よし
yoshimi	よしみ
yosoo	よそお
you	よう
youya	ようや
youyo	ようよ
yowai	よわい
yu	ゆ
yubari	ゆばり
yuda	ゆだ
yui	ゆい
yuku	ゆく
yumi	ゆみ
yuru	ゆる
yuruga	ゆるが
yurusu	ゆるす
yuruyaka	ゆるやか
yusu	ゆす
yutaka	ゆたか
yuu	ゆう
yuzu	ゆず
za	ざ
zai	ざい
zaki	ざき
zan	ざん
zatsu	ざつ
zen	ぜん
zero	ぜろ
zetsu	ぜつ
zo	ぞ
zoku	ぞく
zou	ぞう
zu	ず
zubon	ずぼん
zui	ずい
zukin	ずきん
zuri	ずり
