# code	trad	simp_peer	layer	freq
utem	顔	颜	0	15668
utfn	閐	𨸃	0	0
uths	闑	𫔶	0	0
utkd	閣	阁	0	26942
utmm	㿗	𤻊	0	0
uubw	闕	阙	0	18836
uukq	閲	阅	0	11316
uvei	䦘	𨸄	0	0
uwae	閥	阀	0	20735
uwga	𨷲	𨸎	0	0
uwgd	闋	阕	0	12273
uwgq	𨵸	𨸇	0	0
uwi	閃	闪	3	24926
uwwf	䦟	䦷	0	0
uwyo	𨶲	𨸋	0	0
uyd	誾	訚	3	0
uyi	閔	闵	3	19583
uymv	閌	闶	0	0
uynv	𨳑	𨸁	0	0
uynw	閡	阂	0	15254
uyuh	辯	辩	0	28213
uyv	閍	𨸂	3	0
uyve	閬	阆	0	8780
uywu	閼	阏	0	12013
vkmy	㜏	㛣	0	0
vnuv	鼴	鼹	0	6918
vqmd	𡞵	㛟	0	0
vtkd	羣	群	0	21204
vtkm	頵	𫖳	0	0
vujg	𡢃	㛠	0	0
vusy	嫻	娴	0	19499
wamu	貸	贷	0	27412
wcdm	頌	颂	0	23166
wdmy	㑯	㑔	0	0
wfal	儎	傤	0	0
wfam	僨	偾	0	7310
wgeq	覦	觎	0	14819
wgkm	頜	颌	0	13784
wgmy	債	债	0	25909
whmy	偵	侦	0	25114
whte	脩	修	0	17164
wlh	俥	伡	3	0
wmjh	側	侧	0	27950
wtfm	賃	赁	0	20547
wvdm	頒	颁	0	27366
wvmu	貧	贫	0	25391
wxdm	傾	倾	0	27449
wxmu	貨	货	0	31384
wycm	領	领	0	33842
wyfj	儲	储	0	27587
wynm	貪	贪	0	24515
wynm	頷	颔	0	10129
wyyy	讎	雠	0	12513
xadd	𦃄	𦈗	0	0
xadt	絨	绒	0	18164
xafg	紺	绀	0	12879
xafh	緙	缂	0	0
xag	紅	红	3	31582
xamd	緓	绬	0	0
xann	紲	绁	0	0
xawk	䌋	𦈘	0	0
xbg	䋙	䌺	0	0
xbmh	絀	绌	0	17277
xcbh	紓	纾	0	25341
xccc	綴	缀	0	20258
xckg	紿	绐	0	8533
xcks	𦂅	𦈒	0	0
xdcy	紘	纮	0	13332
xdcy	紱	绂	0	8780
xdff	縟	缛	0	11633
xdfn	絝	绔	0	5961
xdgt	緘	缄	0	13939
xdht	縬	𦈚	0	0
xdjd	緋	绯	0	18078
xdmd	緬	缅	0	24749
xdmy	頃	顷	0	22206
xdsk	綺	绮	0	21059
xdtb	綁	绑	0	24435
xdui	繚	缭	0	13566
xean	䌥	𦈠	0	0
xeeg	綳	绷	0	0
xefc	緩	缓	0	28935
xegg	組	组	0	34880
xepc	綬	绶	0	16417
xevg	綏	绥	0	20104
xeyy	級	级	0	33375
xfcy	紜	纭	0	17164
xfdj	繻	𦈡	0	9967
xfhw	縝	缜	0	12809
xfim	頴	颕	0	14780
xfkg	結	结	0	35189
xfkm	纈	缬	0	7310
xfmf	䋻	䌾	0	0
xfmu	貫	贯	0	25998
xftj	緒	绪	0	27039
xftt	䊷	䌶	0	0
xfwt	綾	绫	0	17859
xfy	紂	纣	3	17164
xgbn	純	纯	0	27305
xgcf	絰	绖	0	7310
xgef	縛	缚	0	20722
xgeg	綪	𬘬	0	0
xgfh	紆	纡	0	11425
xgjq	綆	绠	0	10432
