# code	trad	simp_form	layer	freq
jdww	蛺	蛱	0	0
jept	曖	暧	0	15515
jffc	曇	昙	0	17677
jffq	曉	晓	0	25352
jffq	蟯	蛲	0	0
jffy	時	时	0	40584
jgho	鶗	𫛸	0	0
jgji	蝀	𬟽	0	11530
jgmv	鼂	鼌	0	0
jgmx	曬	晒	0	20682
jhal	曥	𣆐	0	0
jhal	蠦	𫊮	0	0
jhjr	暢	畅	0	24585
jhqn	晛	𬀪	0	0
jhqn	蜆	蚬	0	14780
jjgr	暘	旸	0	8780
jjjl	蠱	蛊	0	17536
jjju	蟲	虫	0	25953
jjqw	蠍	蝎	0	14780
